id,class,consumer,site,detail,count,disposition
D0159,reflection-callsite,OverlayPlugin.Core,RainbowMage.OverlayPlugin.EventSources.FFXIVRequiredEventSource::GetPartyType,System.Type.GetMethod,1,UNREVIEWED
D0160,reflection-callsite,OverlayPlugin.Core,RainbowMage.OverlayPlugin.EventSources.FFXIVRequiredEventSource::GetPartyType,System.Reflection.MethodBase.Invoke,1,UNREVIEWED
D0161,reflection-callsite,OverlayPlugin.Core,RainbowMage.OverlayPlugin.FFXIVRepository::EpochToDateTime,System.Reflection.Assembly.Load,1,UNREVIEWED
D0162,reflection-callsite,OverlayPlugin.Core,RainbowMage.OverlayPlugin.FFXIVRepository::EpochToDateTime,System.Reflection.Assembly.GetType,1,UNREVIEWED
D0163,reflection-callsite,OverlayPlugin.Core,RainbowMage.OverlayPlugin.FFXIVRepository::EpochToDateTime,System.Type.GetMethod,1,UNREVIEWED
D0164,reflection-callsite,OverlayPlugin.Core,RainbowMage.OverlayPlugin.FFXIVRepository::GetFFXIVACTPluginIOCService,System.Type.GetField,1,UNREVIEWED
D0165,reflection-callsite,OverlayPlugin.Core,RainbowMage.OverlayPlugin.FFXIVRepository::GetFFXIVACTPluginIOCService,System.Type.GetMethod,1,UNREVIEWED
D0166,reflection-callsite,OverlayPlugin.Core,RainbowMage.OverlayPlugin.FFXIVRepository::GetFFXIVACTPluginIOCService,System.Reflection.Assembly.GetType,1,UNREVIEWED
D0167,reflection-callsite,OverlayPlugin.Core,RainbowMage.OverlayPlugin.FFXIVRepository::GetFFXIVACTPluginIOCService,System.Reflection.MethodBase.Invoke,1,UNREVIEWED
D0168,reflection-callsite,OverlayPlugin.Core,RainbowMage.OverlayPlugin.FFXIVRepository::GetMachinaOpcodes,System.Reflection.Assembly.Load,1,UNREVIEWED
D0169,reflection-callsite,OverlayPlugin.Core,RainbowMage.OverlayPlugin.FFXIVRepository::GetMachinaOpcodes,System.Reflection.Assembly.GetType,1,UNREVIEWED
D0170,reflection-callsite,OverlayPlugin.Core,RainbowMage.OverlayPlugin.FFXIVRepository::GetMachinaOpcodes,System.Type.GetProperty,1,UNREVIEWED
D0171,reflection-callsite,OverlayPlugin.Core,RainbowMage.OverlayPlugin.FFXIVRepository::GetMachinaOpcodes,System.Type.GetField,1,UNREVIEWED
